step,timestamp_ns,timestamp_sec,dt,est_x,est_y,est_z,est_roll,est_pitch,est_yaw
36,1598870182653267512,1598870182.6532676,0.010253202000000001,-0.02104219255957883,-0.18699252976890204,-0.022018332418660302,0.00014497479240509868,-0.00016790255035856378,8.141043579150905e-05
37,1598870182653434839,1598870182.653435,0.00016732700000000002,0.20143895748778703,-0.1112750188154989,0.0321217537414469,0.00014506130225262046,-0.00016813095277094445,8.142147605113562e-05
38,1598870182662974157,1598870182.6629744,0.009539318,0.1078298614478776,-0.2502427161356136,0.10148004114096368,0.0001501372753104055,-0.00017112600937408578,8.414707179895694e-05
39,1598870182663294763,1598870182.6632948,0.000320606,0.000866636070826543,-0.0368053199597693,0.08113218169076729,0.0001503078731894325,-0.0001712266699367494,8.423867607824881e-05
40,1598870182723211232,1598870182.7232113,0.05991646900000001,0.16838206593927596,-0.10093580216981668,-0.0172823707359562,0.00016932900680646394,-0.00019018506864975856,9.9413905135342e-05
41,1598870182732946101,1598870182.7329462,0.009734869,0.21636351774284782,-0.09117192036956466,-0.013554418905976019,0.00017822003575930243,-0.00018654082272263428,9.962296615551669e-05
42,1598870182742629353,1598870182.7426295,0.009683252,0.28239063118404234,-0.17230734314924404,-0.0833770206981891,0.00017729248362740734,-0.00018651414003112072,0.00010156896122592683
43,1598870182752853148,1598870182.7528534,0.010223795,0.09695238124889365,-0.33322204107113645,-0.17839440086489625,0.00018002375019690245,-0.00018999723378961748,0.00010306912651391147
44,1598870182773348416,1598870182.7733486,0.020495268,-0.06526457165329387,-0.37940032647097816,-0.18985179884891157,0.00018490751150525598,-0.00019652199617978256,0.00010864836866236142
45,1598870182812411730,1598870182.8124118,0.039063314,-0.2011802722043279,-0.3288271928607691,-0.1294213912415981,0.00018287085576970737,-0.00017471183828831333,8.54218115145215e-05
46,1598870182822969251,1598870182.8229694,0.010557521,-0.20794289277672287,-0.23444635721838372,-0.16819870538477782,0.00017517028142823604,-0.00017078380157332365,8.751451584854197e-05
47,1598870182823066755,1598870182.823067,9.750400000000001e-05,-0.1723375598234595,-0.14147089713630626,-0.19982485378264833,0.0001750991627631071,-0.0001707475241847343,8.753384302235334e-05
48,1598870182842995370,1598870182.8429956,0.019928615,-0.3367865203643365,-0.1501066885163131,-0.18621466695026204,0.0001619807632128326,-0.00018198381063555487,8.356847721907275e-05
49,1598870182862929969,1598870182.86293,0.019934599,-0.16274363269488884,-0.18822918127992924,-0.0929715151830025,0.00015190948576073208,-0.0001836236260625679,0.00010231465272519751
50,1598870182892758924,1598870182.892759,0.029828955,-0.4128928965085785,-0.21336316459297974,-0.11504459855693412,0.00013395961046657105,-0.00019284075305524097,9.794634957437505e-05
51,1598870182902471617,1598870182.9024718,0.009712693000000001,-0.4107085377911302,-0.2633301579124034,-0.11410060603916344,0.0001379220485134632,-0.0001906306852993238,9.804854591753039e-05
52,1598870182923101285,1598870182.9231012,0.020629668,-0.21774939785175268,-0.2544999541618879,-0.053582050179891344,0.00013760167381424688,-0.00020635088339555687,0.00011006906587316798
53,1598870182943248779,1598870182.943249,0.020147494000000002,-0.22149136005394954,-0.22129622922333492,-0.18817974484295755,0.00014539841463197256,-0.0002090539424347826,9.31216517769193e-05
54,1598870182963390961,1598870182.963391,0.020142182,-0.21313000794372397,-0.14564162157299476,-0.2456411839967624,0.000142642661769981,-0.00020690652796363714,0.00010120832576754542
55,1598870182982747899,1598870182.982748,0.019356938,-0.2765982440126075,-0.24253820394702794,-0.11331133822842464,0.0001467692588660908,-0.00020645394849061032,0.00010532709552534161
56,1598870183002490339,1598870183.0024905,0.01974244,-0.377007934322582,-0.3076672894614393,-0.2703753011561813,0.000142459187090252,-0.0002171977696179317,0.00011530866535269197
57,1598870183022937965,1598870183.022938,0.020447626,-0.5195160231312727,-0.2650625940633221,-0.33075899788876983,0.0001377658998791747,-0.00022173350417158588,0.0001301689086000431
58,1598870183043620247,1598870183.0436203,0.020682282,-0.7528081492159875,-0.27956557713291136,-0.3065287600974463,0.00012795835930737618,-0.00021384977116633547,0.0001193910305528975
59,1598870183062815431,1598870183.0628157,0.019195184,-0.6516299405019903,-0.22216666714656838,-0.328668085798637,0.00012953229593454067,-0.00022918683549622785,0.00010934609416780988
60,1598870183092423243,1598870183.0924232,0.029607812,-0.2836265173421567,-0.26612716132198067,-0.2845756157921407,0.00011765411658589309,-0.0002135980624606774,0.00011091555841283457
61,1598870183103369917,1598870183.1033702,0.010946674,-0.417323635221601,-0.3242506627119948,-0.3614094001446597,0.00011565915607757911,-0.00020293152425449913,0.0001118408454234968
62,1598870183122673645,1598870183.1226737,0.019303728000000003,-0.3683124121829075,-0.3379739751164991,-0.4007801171569547,0.00011765252949119405,-0.00020162675309628078,0.00012725349068594676
63,1598870183153196173,1598870183.1531963,0.030522528000000004,-0.5672116145500486,-0.2562891998282453,-0.335777737608014,0.00013131720333949522,-0.0002131242363361289,0.00013083359506425906
64,1598870183162883428,1598870183.1628835,0.009687255,-0.4231488759127519,-0.24690734839706438,-0.28724254472483535,0.00013486472794309117,-0.00021284606452152215,0.00013004458941379883
65,1598870183183163536,1598870183.1831636,0.020280108,-0.28747577881500713,-0.17347834699826994,-0.20208847572957953,0.00013741836948032537,-0.00021603287757201528,0.0001421155774960081
66,1598870183203313659,1598870183.2033138,0.020150123000000002,-0.2907269674598116,-0.1481894932283269,-0.27806995770700355,0.00016351083341532063,-0.00020607951364542024,0.00014446538034239127
67,1598870183223295112,1598870183.2232955,0.019981453,-0.057487155863564385,-0.21282150386064483,-0.2550556476714824,0.00015676425262706352,-0.00020530624646149337,0.000148891837989006
68,1598870183252748237,1598870183.2527485,0.029453125,-0.013515393884503915,-0.2800749183072697,-0.24863038998374287,0.0001343772110186098,-0.00022109130783015392,0.00013790303253458883
69,1598870183263461216,1598870183.263461,0.010712979000000001,0.035444103816655234,-0.2574027068045796,-0.25028732334229337,0.00013321311663680706,-0.00022548521662045908,0.00013792915606466012
70,1598870183293132100,1598870183.293132,0.029670884,-0.03277495701930329,-0.30869151147090523,-0.24724997857735861,0.00014970797402115535,-0.0002379591584832358,0.00013122917592548987
71,1598870183312443667,1598870183.3124437,0.019311567,-0.007530288217262633,-0.22064994521843162,-0.17317585640172403,0.00016414262372205357,-0.00022925780596981226,0.00011747691541997661
72,1598870183323294118,1598870183.3232944,0.010850451,-0.026563499910571584,-0.2562850299784628,-0.12276215238804324,0.0001661268490578923,-0.0002273409682582882,0.00011557870803678451
73,1598870183343400210,1598870183.3434002,0.020106092000000002,-0.015396212067210688,-0.11214306530692263,-0.10624903961955769,0.00016116525506390072,-0.0002199079363849985,0.00012677461314715237
74,1598870183612732044,1598870183.6127322,0.269331834,0.02029156345600214,-0.05700686238010496,-0.05994741916193176,-0.00012754273477957683,-0.00016762375466666034,-3.9223808399047126e-05
75,1598870183642447696,1598870183.6424477,0.029715652000000002,-0.11268558421612714,-0.07596237949584032,-0.0500551666142127,-0.00012880001739445799,-0.00018040970489328765,-3.600347268254586e-05
76,1598870183652966308,1598870183.6529665,0.010518612,0.06668085381524688,-0.07500917156657437,-0.021658098511999666,-0.00013214459412203827,-0.00017989153624263908,-4.1162261135153686e-05
77,1598870183653103427,1598870183.6531034,0.000137119,0.014140240478765036,-0.28931460009449284,0.03343516784010495,-0.0001321881935072337,-0.00017988478147621095,-4.1229510303944495e-05
78,1598870183662579452,1598870183.6625795,0.009476025,0.05965648005613454,-0.1252312851105756,-0.03868405752429356,-0.00013806311339895202,-0.00017900044208389186,-4.44992315599722e-05
79,1598870183662773403,1598870183.6627736,0.00019395100000000001,0.05241673296732223,-0.10826949181482588,-0.12540011143231028,-0.00013818335860597906,-0.00017898234182460806,-4.456615473792158e-05
80,1598870183662966618,1598870183.6629667,0.000193215,0.0680788511229021,-0.16685899313474403,-0.09540776010428015,-0.00013830314750975237,-0.00017896431025169783,-4.463282395760848e-05
81,1598870183803141232,1598870183.803141,0.140174614,-0.13255438461735589,-0.24794157318638432,-0.13589034910306524,1.4020135549596937e-05,-0.00030842340574500487,-4.30279572324978e-05
82,1598870183823210748,1598870183.823211,0.020069516000000003,-0.3003824480618008,-0.2127401820875105,-0.05983139251557727,1.710786461122657e-05,-0.00031961907540646345,-4.169910991047616e-05
83,1598870183832809172,1598870183.8328092,0.009598424000000001,-0.27392272992432204,-0.11611123656152089,0.021439996407799675,1.9851716241877023e-05,-0.0003254478694746724,-4.427859761449289e-05
84,1598870183862435449,1598870183.8624353,0.029626277000000003,-0.1890961893114541,-0.1639926324446567,-0.09143890271579239,4.4720526716700724e-05,-0.00028802738937500625,-4.027381486441633e-05
85,1598870183862576344,1598870183.8625765,0.000140895,-0.14740588607537386,-0.18782713999881803,-0.11704261665966438,4.483879642206567e-05,-0.0002878494271375087,-4.025476914140591e-05
86,1598870183892750522,1598870183.8927507,0.030174178000000003,-0.07350212404680526,-0.10716089883148651,-0.19763485957976873,4.187229032727747e-05,-0.0002860826857048362,-3.878063449969822e-05
87,1598870183892850393,1598870183.8928506,9.9871e-05,-0.06613917625971713,-0.13827149868073943,-0.13915389514160253,4.186247173569256e-05,-0.0002860768381144355,-3.87757553841577e-05
88,1598870183893138584,1598870183.893139,0.00028819100000000003,-0.08741778656850165,-0.014900662538695488,-0.17281514790282296,4.183413888904589e-05,-0.00028605996411772784,-3.8761676049949234e-05
89,1598870183923028763,1598870183.923029,0.029890179000000003,-0.13758495921975106,-0.08273505528891853,-0.1750948249800672,6.110681888493986e-05,-0.00026362917998176764,-5.9198425577978936e-05
90,1598870183923265530,1598870183.9232657,0.000236767,-0.16680626481946137,0.06505220950647463,-0.222265016552684,6.125948222712286e-05,-0.00026345150056848884,-5.9360309783339606e-05
91,1598870183923362618,1598870183.9233627,9.7088e-05,-0.14179202885819925,-0.08262176239788996,-0.28639851847712344,6.132208292133219e-05,-0.00026337864185559215,-5.9426691558376045e-05
92,1598870183933006482,1598870183.9330068,0.009643864,-0.2074939519653098,-0.24681195424986388,-0.2534786815824926,5.831303971896921e-05,-0.0002669362522030969,-5.356305859351352e-05
93,1598870183943159911,1598870183.9431598,0.010153429,-0.27701185344726953,-0.27442134454710376,-0.21034283616476582,5.8761978359925066e-05,-0.0002711140370782217,-4.577539903726806e-05
94,1598870183943793860,1598870183.943794,0.0006339490000000001,-0.07303983035514289,-0.3073599444077844,-0.30627373379686756,5.879000871326632e-05,-0.0002713748851664686,-4.5289161433398224e-05
95,1598870183943964516,1598870183.9439645,0.00017065600000000001,-0.12510680265915408,-0.2645452440644411,-0.22653264132945897,5.879755434860892e-05,-0.0002714451042082966,-4.5158268625733884e-05
96,1598870183993366918,1598870183.9933672,0.049402402000000005,-0.13381665680892213,-0.33013303968011803,-0.16139640235610117,0.00010374580076418768,-0.00027455952665923907,-5.633951558622532e-05
97,1598870183993701639,1598870183.9937017,0.000334721,-0.008736124983857702,-0.3116783302973661,-0.1352317144221665,0.00010405034308155251,-0.0002745806281149377,-5.64152729990706e-05
98,1598870183993841828,1598870183.9938421,0.000140189,0.011437736615350583,0.0198248338621064,-0.17260868707180188,0.00010417789254193607,-0.00027458946589916056,-5.644700197917455e-05
99,1598870184002470787,1598870184.002471,0.008628959,-0.04607454049542167,0.0009345196223958087,-0.1203764632413805,0.00010755084670404155,-0.00027974613489940956,-5.7459812909673576e-05
100,1598870184002702262,1598870184.0027025,0.000231475,-0.09040528783582756,0.05161907218670752,-0.06111880879265236,0.00010764132744044017,-0.0002798844644426178,-5.748698193552447e-05
101,1598870184022848493,1598870184.0228486,0.020146231,0.12348356455064458,0.018591372682579505,-0.07725456609285936,0.00010357824028298955,-0.0002973454249275334,-5.101866332629363e-05
102,1598870184053284286,1598870184.0532844,0.030435793000000003,0.05284140953377385,-0.19115154111463015,-0.13753295652478018,0.00011192860992590288,-0.0003095949398831206,-5.904228860219032e-05
103,1598870184072983610,1598870184.0729837,0.019699324,0.0366195775761081,-0.1581519641454961,0.014886737712888346,0.00011668665438214464,-0.00031721192152966136,-5.726506423505823e-05
104,1598870184073149369,1598870184.0731494,0.00016575900000000002,0.1473425069376169,-0.04550197550962034,0.09564844609262896,0.00011672669071491527,-0.0003172760142498353,-5.725010986739204e-05
105,1598870184082918653,1598870184.0829186,0.009769284000000001,0.040725886705595196,-0.10768276049099258,0.042712350789290796,0.00011587862397245409,-0.0003200303239202244,-5.117500023489183e-05
106,1598870184152539121,1598870184.1525393,0.069620468,0.007610807296161277,0.1401252758716259,0.019181920092045276,0.0001006859767700629,-0.000315862943892669,-8.34990894969941e-05
107,1598870184152715205,1598870184.1527154,0.00017608400000000002,-0.06734185931622841,0.12413475015971424,0.07329871324180535,0.00010064755154588905,-0.00031585240376035093,-8.358084354285354e-05
108,1598870184183266665,1598870184.1832666,0.030551460000000003,-0.025420365594095374,0.19361372091704873,-0.002103573923064571,0.00011625392520856761,-0.0003289317683231375,-9.341836764459235e-05
109,1598870184183371371,1598870184.1833713,0.00010470600000000001,-0.13213659543477013,0.14254939117539883,0.0016910496139224706,0.0001163074113909211,-0.0003289765939369023,-9.345208281887854e-05
110,1598870184183576738,1598870184.1835768,0.000205367,0.029333409407525685,-0.024906601965344617,0.03544488725572289,0.00011641231747855105,-0.00032906451346225937,-9.351821068354363e-05
111,1598870184183824708,1598870184.1838248,0.00024797,-0.01695299962678193,0.052997273149356386,-0.0036646854089947122,0.00011653898613782736,-0.0003291706717286936,-9.35980566500378e-05
112,1598870184202958596,1598870184.2029586,0.019133888,-0.18462712149102578,0.17266460789311072,0.010861838738684272,0.00011107701472749325,-0.0003155593015298552,-7.386654660383881e-05
113,1598870184232494183,1598870184.232494,0.029535587000000002,-0.40662380262471304,0.22206169817523516,-0.04666392723851326,0.00011583205350909563,-0.00029928283937469394,-5.753925293817669e-05
114,1598870184243259265,1598870184.2432594,0.010765082,-0.3662739197804502,0.18089480583957213,-0.13001463206309655,0.00011846060828425176,-0.0002994445612122482,-5.217845819099473e-05
115,1598870184273292161,1598870184.2732923,0.030032896000000003,-0.1986720667389018,0.10247557370434496,-0.02347676298711548,0.00012334840667511707,-0.00030981127212173395,-6.189395987896846e-05
116,1598870184302901004,1598870184.302901,0.029608843000000003,-0.13141702947251535,0.14779637308669843,-0.008425969087026117,0.00013007954409598602,-0.00033987907777068975,-5.019206393753365e-05
117,1598870184303005074,1598870184.3030052,0.00010407000000000001,0.07353514127905034,0.022884873540507396,-0.06326397664930951,0.00013010320288844174,-0.0003399847609456077,-5.015093378224098e-05
118,1598870184342884334,1598870184.3428845,0.03987926,-0.022519476288981627,0.1527402817914023,0.00968625301736827,0.00016317070568787632,-0.0003190555411426951,-8.918907114726648e-05
119,1598870184343013959,1598870184.343014,0.00012962500000000002,-0.027173196577417735,0.15765194054554899,-0.08357088203429427,0.00016327818950403477,-0.00031898751204393667,-8.931596213160123e-05
120,1598870184363042858,1598870184.3630428,0.020028899000000003,0.12473148159609491,0.11373693213924006,-0.07254736696970898,0.0001616775628395276,-0.0003237591059664382,-6.852549422042881e-05
121,1598870184482369482,1598870184.4823697,0.119326624,0.05538758204860101,0.1683185372944358,-0.07957243637981219,0.00012220896040679978,-0.00032841272693237723,-9.967779417123152e-05
122,1598870184482538650,1598870184.482539,0.000169168,0.04059461443653425,0.1533522035189634,-0.10374588893949621,0.00012215300621726082,-0.00032841932431798305,-9.972195843316586e-05
123,1598870184482613691,1598870184.4826138,7.5041e-05,-0.04450985289952671,0.17300931524373925,-0.0749800358260789,0.00012212818557543023,-0.0003284222508431725,-9.97415491972573e-05
124,1598870184493404902,1598870184.493405,0.010791211,0.027626207850214746,0.2885446227460739,-0.1339276244282564,0.00011950524556629502,-0.00032732134045042896,-0.00010564579043415291
125,1598870184493803209,1598870184.4938033,0.00039830700000000003,-0.1769836225750988,0.2075444770863238,-0.05682398052531436,0.00011940843202366121,-0.0003272807055007648,-0.00010586371783955201
126,1598870184502393824,1598870184.502394,0.008590615000000001,-0.15932361641947582,-0.01915148504570073,0.04031275655124758,0.00012045449887596632,-0.0003231244198077983,-9.998630132675526e-05
127,1598870184502608463,1598870184.5026085,0.000214639,-0.10034083302753759,-0.16502284689955105,-0.004236816245074724,0.00012048063515877163,-0.0003230205738078493,-9.983945237555789e-05
128,1598870184523381622,1598870184.5233817,0.020773159000000003,-0.09072906637423518,-0.1994981538902416,-0.014094546744792208,0.0001137253071848801,-0.0003103571802123693,-9.692548498179876e-05
129,1598870184543387578,1598870184.5433877,0.020005956000000002,-0.030948293865034324,-0.16602110088107752,0.06493682405618525,0.00012800040843299727,-0.00030347152372684974,-9.45325647569848e-05
130,1598870184563022695,1598870184.5630226,0.019635117,-0.057376215334083325,0.021502793816280254,0.02682336333576299,0.0001490391736217695,-0.0003082155961256115,-0.00010806751512423727
131,1598870184643724915,1598870184.643725,0.08070222,-0.19401411859119647,-0.2081912530230881,-0.02400836725240921,0.00020281409345146407,-0.0003743467493815733,-0.00015093362424524253
132,1598870184652950463,1598870184.6529505,0.009225548,-0.16136406935134467,-0.06859684136553797,-0.2141771414418285,0.00020295510042131267,-0.00037760977645018154,-0.00015329249239577793
133,1598870184653196329,1598870184.6531963,0.000245866,-0.15253290728125438,-0.1654052064034603,-0.15069260623183423,0.00020295885833570963,-0.00037769673794160215,-0.00015335535754771259
134,1598870184662809764,1598870184.6628098,0.009613435,-0.1942469103454987,-0.10395611624929374,-0.03164417154004379,0.00020462072613717754,-0.0003762168743308531,-0.00015380695139600566
135,1598870184673442321,1598870184.6734424,0.010632557,-0.17312010315403173,-0.09914194031475598,0.028427185918324358,0.00020833893116309782,-0.0003761841297668678,-0.0001547777090757569
136,1598870184682942636,1598870184.6829429,0.009500315,-0.139783570646216,-0.10590735010850168,-0.05779011179335954,0.000212271034202883,-0.0003773591086963551,-0.00015547801073236792
137,1598870184703151091,1598870184.7031512,0.020208455,-0.16904131909743125,-0.26672316538432156,-0.04479848885594686,0.00020701028397056737,-0.0003716144081566208,-0.00015588828769186636
138,1598870184733002169,1598870184.7330024,0.029851078000000003,-0.09751886351931768,-0.2096825495432894,0.07078244622619492,0.0001999216866750717,-0.0003872599742073565,-0.0001581945136604354
139,1598870184743166127,1598870184.7431662,0.010163958,-0.21660337480196618,-0.13570869181660347,0.06964623609373005,0.0001951537577871196,-0.00039053850628888046,-0.00015948481266186195
140,1598870184762482853,1598870184.7624831,0.019316726000000003,-0.3239109967520439,-0.06819733783664923,0.1106823434183307,0.00020749214399309263,-0.00040809800267266436,-0.00016446095273161943
141,1598870184782832181,1598870184.7828321,0.020349328,-0.17686707604104676,-0.07957245671528727,0.1405452296736888,0.0002101407038216795,-0.00042403186339897054,-0.00018326836892011467
142,1598870184803208913,1598870184.803209,0.020376732,-0.21335591555960828,0.08719713589971928,0.23169868683137354,0.00022027290814123312,-0.000428774523394932,-0.00019115052248881942
143,1598870184812967809,1598870184.812968,0.009758896000000001,-0.18174809862827096,0.09930244258811903,0.14923103809428193,0.00022964353732491278,-0.00043621326499849653,-0.00018697162347440798
144,1598870184842418381,1598870184.8424184,0.029450572,-0.16621840870251545,0.04162426823921243,0.149700043793277,0.0002480461364995446,-0.00043421392278230757,-0.00018456566248848478
145,1598870184863513435,1598870184.8635135,0.021095054000000002,-0.3009590484165044,0.22629031012093417,0.14410026848179922,0.0002478863236721707,-0.0004357493744474618,-0.00019738769002866118
146,1598870184882975018,1598870184.882975,0.019461583,-0.1493738610098707,0.253024233198185,0.11746734096138935,0.0002462395757445562,-0.0004276654867411134,-0.00020672739861586536
147,1598870184912649980,1598870184.91265,0.029674962000000003,0.09140231927994065,0.3485881944126611,0.027289917873472704,0.00022935810405757932,-0.00041860458610663853,-0.0002075332075740095
148,1598870184912748792,1598870184.9127488,9.8812e-05,0.05650897514837296,0.2746825532320248,-0.013779983004928989,0.00022930189195593165,-0.000418574415024583,-0.00020753589076513782
149,1598870184953024256,1598870184.9530244,0.040275464000000004,0.26597563363063675,0.11619780332190101,0.0725204255326115,0.00023465966660738454,-0.00039365325209706766,-0.00021087439552147573
150,1598870184962701642,1598870184.9627016,0.009677386000000001,0.031104300892564447,0.24340026015625338,0.03740228815023474,0.00023354251598266233,-0.0003975989811110141,-0.0002041939775028187
151,1598870184982932944,1598870184.982933,0.020231302,-0.23352179329327197,0.228015674182947,0.0586526026549444,0.00023628176563310902,-0.00038926079258248114,-0.00020146100602175913
152,1598870184992428958,1598870184.9924293,0.009496014,-0.2951037251450231,0.3185297717689287,-0.031814939982776035,0.00023619047054677548,-0.0003912719862786681,-0.00020656937756234408
153,1598870185013081191,1598870185.013081,0.020652233000000002,-0.13037555456790711,0.34074047810092606,0.06941445255321976,0.0002554604826028338,-0.00039315626805109236,-0.00021086522800572
154,1598870185042956660,1598870185.0429566,0.029875469,-0.15532533426353515,0.3895832900154058,0.03469314130805083,0.00025245893154557744,-0.00039487603347835567,-0.0002003884777132746
155,1598870185052601240,1598870185.0526013,0.00964458,-0.049749945591905036,0.36084429731800155,0.07895819190847214,0.0002505163254354051,-0.0003985266178903516,-0.00019911209231963773
156,1598870185083164410,1598870185.0831645,0.03056317,-0.19282187534996087,0.3657847278815255,0.09593419449767461,0.0002494911883466314,-0.00041968508519607686,-0.00020508951201709283
